keyboard,path,targets,touch_target,layoutfile,touch_file,platforms,layers,nondefault_longpress,longpress_beyond_template,flick,multitap,verdict
way,release/w/way/source/way.kmn,any,yes,yes,yes,phone,default|shift|numeric,4,4,0,0,DEVELOPED
winchus,release/w/winchus/source/winchus.kmn,any,yes,yes,yes,phone,default|shift|numeric|symbol|EMOJI_0|EMOJI_1|EMOJI_2|EMOJI_3|EMOJI_4|EMOJI_5|EMOJI_6|EMOJI_7|EMOJI_8|caps,199,119,75,0,DEVELOPED
wolofal,release/w/wolofal/source/wolofal.kmn,any,yes,yes,yes,phone,default|shift|numeric,20,20,0,0,DEVELOPED
xinaliq,release/x/xinaliq/source/xinaliq.kmn,any,yes,yes,yes,tablet,default|shift|numeric,48,47,0,0,DEVELOPED
xpert,release/x/xpert/source/xpert.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
yezidi,release/y/yezidi/source/yezidi.kmn,any,yes,yes,yes,phone,default|shift|numeric|rightalt,13,13,0,0,DEVELOPED
yiddish_hebrew,release/y/yiddish_hebrew/source/yiddish_hebrew.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,0,0,0,DEFAULT_SCAFFOLD
yiddish_pasekh,release/y/yiddish_pasekh/source/yiddish_pasekh.kmn,any,yes,yes,yes,tablet,default|shift,1,1,0,0,DEVELOPED
yidgha,release/y/yidgha/source/yidgha.kmn,any,yes,yes,yes,phone,default|shift|ctrl,0,0,0,0,DEFAULT_SCAFFOLD
yo,release/y/yo/source/yo.kmn,any,yes,yes,yes,tablet,default|rightctrl|rightalt|rightctrl-rightalt|shift|rightctrl-shift|rightalt-shift|rightctrl-rightalt-shift,0,0,0,0,DEFAULT_SCAFFOLD
younger_futhark_short_twig,release/y/younger_futhark_short_twig/source/younger_futhark_short_twig.kmn,any,yes,yes,yes,phone,default|numeric,0,0,0,0,DEFAULT_SCAFFOLD
zanabazar_square,release/z/zanabazar_square/source/zanabazar_square.kmn,any,yes,yes,yes,phone,default|numeric,50,50,0,0,DEVELOPED
