keyboard,path,targets,touch_target,layoutfile,touch_file,platforms,layers,nondefault_longpress,longpress_beyond_template,flick,multitap,verdict
soyombo,release/s/soyombo/source/soyombo.kmn,any,yes,yes,yes,phone,default|numeric,61,61,0,0,DEVELOPED
srr_ajami_qwerty,release/s/srr_ajami_qwerty/source/srr_ajami_qwerty.kmn,any,yes,yes,yes,tablet,default|rightalt|shift|rightalt-shift,3,3,0,0,DEVELOPED
sudest,release/s/sudest/source/sudest.kmn,any,yes,yes,yes,tablet+phone,default|shift|numeric,0,0,0,0,DEFAULT_SCAFFOLD
sundanese,release/s/sundanese/source/sundanese.kmn,any,yes,yes,yes,tablet,default|shift,1,1,0,0,DEVELOPED
sundanese_latin,release/s/sundanese_latin/source/sundanese_latin.kmn,any,yes,yes,yes,tablet,default|shift,0,0,0,0,DEFAULT_SCAFFOLD
swanalekha_malayalam,release/s/swanalekha_malayalam/source/swanalekha_malayalam.kmn,any,yes,yes,yes,tablet+phone,default|shift|shift_lock|numeric|extra,3,3,0,0,DEVELOPED
sxava,release/s/sxava/source/sxava.kmn,any,yes,yes,yes,tablet+phone+desktop,default|shift|numeric,18,18,0,0,DEVELOPED
sxava_eo,release/s/sxava_eo/source/sxava_eo.kmn,any,yes,yes,yes,tablet+phone+desktop,default,51,51,0,0,DEVELOPED
sylheti_nagri,release/s/sylheti_nagri/source/sylheti_nagri.kmn,any,yes,yes,yes,tablet,default|numeric,21,21,0,0,DEVELOPED
symbolic_logic,release/s/symbolic_logic/source/symbolic_logic.kmn,any,yes,yes,yes,tablet,default|shift|alt|shift-alt,0,0,0,0,DEFAULT_SCAFFOLD
syriac_arabic,release/s/syriac_arabic/source/syriac_arabic.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,0,0,0,DEFAULT_SCAFFOLD
syriac_phonetic,release/s/syriac_phonetic/source/syriac_phonetic.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,0,0,0,DEFAULT_SCAFFOLD
