netgkb,release/n/netgkb/source/netgkb.kmn,any,yes,yes,yes,tablet,default|shift,0,DEFAULT_ONLY
newa_romanized,release/n/newa_romanized/source/newa_romanized.kmn,any,yes,yes,yes,phone,default|numeric|shift,27,DESIGNED
newa_traditional,release/n/newa_traditional/source/newa_traditional.kmn,any,yes,yes,yes,phone+tablet,default|numeric|shift|symbol,58,DESIGNED
newa_traditional_extended,release/n/newa_traditional_extended/source/newa_traditional_extended.kmn,any,yes,yes,yes,phone+tablet,default|numeric|shift,76,DESIGNED
nguphing,release/n/nguphing/source/nguphing.kmn,any,yes,yes,yes,tablet,default|numeric|shift,17,DESIGNED
nias,release/n/nias/source/nias.kmn,any,yes,yes,yes,phone+tablet,default|numeric|shift|symbol,50,DESIGNED
nisenan,release/n/nisenan/source/nisenan.kmn,any,yes,yes,yes,tablet,default|numeric|shift,4,DESIGNED
nko,release/n/nko/source/nko.kmn,any,yes,yes,yes,tablet,default|shift,0,DEFAULT_ONLY
nkonya,release/n/nkonya/source/nkonya.kmn,any,yes,yes,yes,tablet,default|shift,10,DESIGNED
nobonob,release/n/nobonob/source/nobonob.kmn,any,yes,yes,yes,tablet,default|shift,0,DEFAULT_ONLY
northern_sierra_miwok,release/n/northern_sierra_miwok/source/northern_sierra_miwok.kmn,any,yes,yes,yes,tablet,default|numeric|shift,4,DESIGNED
ntl_onekey,release/n/ntl_onekey/source/ntl_onekey.kmn,any,yes,yes,yes,phone,default|numeric|shift,61,DESIGNED
numanggang,release/n/numanggang/source/numanggang.kmn,any,yes,yes,yes,phone,default|numeric|shift,4,DESIGNED
nw_iranian_latin,release/n/nw_iranian_latin/source/nw_iranian_latin.kmn,any,yes,yes,yes,phone+tablet,default|numeric|shift,86,DESIGNED
nyiakeng_puachue_hmong,release/n/nyiakeng_puachue_hmong/source/nyiakeng_puachue_hmong.kmn,any,yes,yes,yes,tablet,default|rightalt|shift,0,DESIGNED
nzema,release/n/nzema/source/nzema.kmn,any,yes,yes,yes,tablet,default|shift,0,DEFAULT_ONLY
nlci_bengali_winscript,release/nlci/nlci_bengali_winscript/source/nlci_bengali_winscript.kmn,any,yes,yes,yes,tablet,default|shift,0,DEFAULT_ONLY
nlci_devanagari_winscript,release/nlci/nlci_devanagari_winscript/source/nlci_devanagari_winscript.kmn,any,yes,yes,yes,tablet,default|shift,0,DEFAULT_ONLY
nlci_gujarati_winscript,release/nlci/nlci_gujarati_winscript/source/nlci_gujarati_winscript.kmn,any,yes,yes,yes,tablet,default|shift,0,DEFAULT_ONLY
nlci_gurmukhi_winscript,release/nlci/nlci_gurmukhi_winscript/source/nlci_gurmukhi_winscript.kmn,any,yes,yes,yes,tablet,default|shift,0,DEFAULT_ONLY
nlci_ipa,release/nlci/nlci_ipa/source/nlci_ipa.kmn,any,yes,yes,yes,tablet,ctrl-alt|default|shift|shift-ctrl|shift-ctrl-alt,5,DESIGNED
nlci_kannada_winscript,release/nlci/nlci_kannada_winscript/source/nlci_kannada_winscript.kmn,any,yes,yes,yes,tablet,default|shift,9,DESIGNED
nlci_malayalam_winscript,release/nlci/nlci_malayalam_winscript/source/nlci_malayalam_winscript.kmn,any,yes,yes,yes,tablet,default|shift,0,DEFAULT_ONLY
nlci_oriya_winscript,release/nlci/nlci_oriya_winscript/source/nlci_oriya_winscript.kmn,any,yes,yes,yes,tablet,default|shift,0,DEFAULT_ONLY
nlci_tamil_winscript,release/nlci/nlci_tamil_winscript/source/nlci_tamil_winscript.kmn,any,yes,yes,yes,tablet,default|shift,0,DEFAULT_ONLY
nlci_telugu_winscript,release/nlci/nlci_telugu_winscript/source/nlci_telugu_winscript.kmn,any,yes,yes,yes,tablet,default|shift,0,DEFAULT_ONLY
nrc_crk_cans,release/nrc/nrc_crk_cans/source/nrc_crk_cans.kmn,mobile,yes,yes,yes,phone,cV|cwV|default|kV|kwV|mV|mwV|nV|numeric|nwV|pV|pwV|sV|swV|tV|twV|wV|yV|ywV,20,DESIGNED
nrc_makah,release/nrc/nrc_makah/source/nrc_makah.kmn,any,yes,yes,yes,phone,default|numeric|shift,32,DESIGNED
o_tissi,release/o/o_tissi/source/o_tissi.kmn,any,yes,yes,yes,phone,default|numeric|shift|symbol,37,DESIGNED
